country,system_name,system_type,classification,year_inducted,tech_generation,max_speed_kmph,range_km,max_altitude_m,stealth_rating,ew_capability,payload_kg,reliability,cost_million_usd,threat_level,operational_status,combat_proven,description,image_url,wikipedia_url,fuel_efficiency,export_available,system_id
India,Su-30MKI Flanker-H,Fighter_Aircraft,Modern,2002,4.5,2120,3000,17300,3.5,7.2,8000,82,62.0,7.8,Active,True,India's primary air superiority fighter. Twin-engine supermaneuverable multirole aircraft with thrust-vectoring. Forms the backbone of IAF. Over 260 in service.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Su-30MKI_Aero_India_2013_01.jpg/320px-Su-30MKI_Aero_India_2013_01.jpg,https://en.wikipedia.org/wiki/Sukhoi_Su-30MKI,1.062,Yes,ADS_001
India,HAL Tejas Mk1A,Fighter_Aircraft,Modern,2016,4.5,1350,1850,15240,3.0,7.5,4000,75,78.0,7.0,Active,False,"India's indigenous light combat aircraft. Mk1A features AESA radar, advanced EW suite, AAR probe. IAF ordered 83 Mk1A in 2021.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Tejas_Mk1A.jpg/320px-Tejas_Mk1A.jpg,https://en.wikipedia.org/wiki/HAL_Tejas,1.926,Yes,ADS_002
India,Rafale (IAF),Fighter_Aircraft,Modern,2020,4.5,1915,3700,15240,4.5,9.0,9500,92,218.0,9.0,Active,True,"France's omnirole 4.5-gen fighter. India operates 36 Rafale with India-specific enhancements (SPECTRA EW, Meteor BVR missile, MICA). Based at Ambala & Hasimara.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Rafale_Farnborough_Airshow_2010.jpg/320px-Rafale_Farnborough_Airshow_2010.jpg,https://en.wikipedia.org/wiki/Dassault_Rafale,1.598,Yes,ADS_003
India,MiG-29UPG,Fighter_Aircraft,Traditional,1987,3.5,2445,1430,18000,2.0,5.0,4500,68,38.0,5.5,Active,True,"Legacy fighter upgraded with glass cockpit, R-77 missiles and new radar. IAF operates ~60. Primarily used for air defence interception role.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Mikoyan-Gurevich_MiG-29_%28edit1%29.jpg/320px-Mikoyan-Gurevich_MiG-29_%28edit1%29.jpg,https://en.wikipedia.org/wiki/Mikoyan_MiG-29,0.559,Yes,ADS_004
India,LCH Prachand,Helicopter,Modern,2022,4.5,330,700,6500,4.0,6.5,700,80,33.0,7.5,Active,False,"India's indigenous light combat helicopter. Designed for high-altitude warfare in Himalayas. Armed with 20mm gun, rockets, MISTRAL air-to-air missiles.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/LCH_HAL.jpg/320px-LCH_HAL.jpg,https://en.wikipedia.org/wiki/HAL_Light_Combat_Helicopter,0.734,No,ADS_005
India,S-400 Triumf (India),SAM_System,Modern,2021,5.5,17000,400,30000,0.0,9.5,0,95,860.0,9.8,Active,True,World's most advanced long-range SAM system. India operates first squadron in Punjab. Can simultaneously track 100 targets and engage 36. Acquired despite US CAATSA pressure.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/S-400_Triumf_by_Vitaly_Kuzmin.jpg/320px-S-400_Triumf_by_Vitaly_Kuzmin.jpg,https://en.wikipedia.org/wiki/S-400_missile_system,0.734,No,ADS_006
India,Akash Mk2 SAM,SAM_System,Modern,2014,4.0,6000,40,18000,0.0,6.0,0,80,65.0,7.2,Active,False,India's indigenous medium-range SAM. Fully mobile system with phased-array radar. Can engage 4 targets simultaneously. DRDO-developed. Major export success with Armenia.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Akash_Missile_Systems.jpg/320px-Akash_Missile_Systems.jpg,https://en.wikipedia.org/wiki/Akash_(missile),0.587,No,ADS_007
India,Rustom-II (MALE UAV),UAV_Drone,Modern,2024,4.5,225,1000,10500,3.0,5.0,350,72,9.5,6.0,Active,False,"India's medium-altitude long-endurance drone developed by ADE/DRDO. Carries SAR radar, EO/IR sensors. Endurance of 24 hours. Designed to replace Heron UAVs.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Rustom_II_MALE_UAV.jpg/320px-Rustom_II_MALE_UAV.jpg,https://en.wikipedia.org/wiki/DRDO_Rustom,1.799,Yes,ADS_008
India,ARUDHRA Radar,Radar_System,Modern,2015,4.5,0,450,0,0.0,8.0,0,88,28.0,5.0,Active,False,DRDO-developed medium-power radar for air traffic management and defence. Can track 1500 targets simultaneously. Deployed across multiple IAF bases.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/ARUDHRA_Radar_IAF.jpg/320px-ARUDHRA_Radar_IAF.jpg,https://en.wikipedia.org/wiki/DRDO_Arudhra,1.402,Yes,ADS_009
India,Mirage 2000H,Fighter_Aircraft,Traditional,1985,3.5,2340,1850,17060,2.5,5.5,6300,70,42.0,6.0,Active,True,"Battle-proven IAF workhorse. Participated in Kargil War (1999) – precision strikes. Underwent upgrade program. Still in service, being replaced by Rafale.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Mirage_2000_img_3924.jpg/320px-Mirage_2000_img_3924.jpg,https://en.wikipedia.org/wiki/Dassault_Mirage_2000,0.625,No,ADS_010
