scenario_id,attacker,defender,att_avg_threat,att_avg_tech_gen,att_modern_pct,att_avg_stealth,att_avg_ew,att_fighter_count,att_sam_count,att_uav_count,att_military_budget,att_aircraft_count,att_zone,dfn_avg_threat,dfn_avg_tech_gen,dfn_modern_pct,dfn_avg_stealth,dfn_avg_ew,dfn_fighter_count,dfn_sam_count,dfn_uav_count,dfn_military_budget,dfn_aircraft_count,dfn_zone,threat_ratio,tech_ratio,number_ratio,budget_ratio,outcome,attacker_win_probability
SCN_0001,Pakistan,United Kingdom,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,0.801,0.895,2.796,0.153,Attacker_Wins,0.65
SCN_0002,Turkey,Pakistan,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,1.134,1.084,0.487,1.779,Stalemate,0.43
SCN_0003,Saudi Arabia,Australia,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,0.97,0.982,2.208,2.344,Stalemate,0.6
SCN_0004,India,France,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,0.847,0.932,2.48,1.38,Stalemate,0.54
SCN_0005,Turkey,Saudi Arabia,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,0.927,1.0,0.885,0.247,Stalemate,0.57
SCN_0006,Japan,Turkey,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,1.161,1.059,1.754,2.757,Attacker_Wins,0.67
SCN_0007,Russia,Turkey,8.62,4.75,75.0,2.94,8.04,3,3,1,86.0,1172,2,6.95,4.25,75.0,3.25,6.12,3,0,1,18.5,207,2,1.24,1.118,5.662,4.649,Attacker_Wins,0.68
SCN_0008,India,Japan,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,0.808,0.907,1.736,1.596,Stalemate,0.6
SCN_0009,North Korea,United Kingdom,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,0.771,0.822,3.704,0.059,Attacker_Wins,0.7
SCN_0010,Iran,Saudi Arabia,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,0.749,0.882,1.44,0.132,Stalemate,0.53
SCN_0011,North Korea,France,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,7.7,4.38,75.0,2.5,7.3,2,1,0,59.0,254,1,0.766,0.822,2.217,0.068,Stalemate,0.6
SCN_0012,India,Saudi Arabia,6.52,4.08,66.7,2.08,6.31,7,2,1,81.4,630,1,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,0.869,0.96,2.692,1.085,Attacker_Wins,0.65
SCN_0013,United Kingdom,Israel,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,8.42,4.75,83.3,2.33,8.25,2,3,1,23.5,241,1,0.909,0.922,0.631,2.894,Stalemate,0.57
SCN_0014,Australia,Japan,7.73,4.33,66.7,4.5,7.6,3,0,0,32.0,106,1,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,0.958,0.962,0.292,0.627,Stalemate,0.6
SCN_0015,North Korea,United Kingdom,5.9,3.6,60.0,1.1,3.1,2,1,1,4.0,563,3,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,0.771,0.822,3.704,0.059,Stalemate,0.54
SCN_0016,Iran,Pakistan,5.62,3.75,50.0,1.62,3.88,2,1,1,9.9,337,2,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,0.917,0.957,0.793,0.952,Attacker_Wins,0.62
SCN_0017,Saudi Arabia,Japan,7.5,4.25,75.0,1.88,7.25,3,1,0,75.0,234,2,8.07,4.5,50.0,3.5,7.7,3,1,0,51.0,363,1,0.929,0.944,0.645,1.471,Stalemate,0.49
SCN_0018,Pakistan,United Kingdom,6.13,3.92,66.7,1.58,5.17,4,1,1,10.4,425,3,7.65,4.38,75.0,3.5,7.7,3,1,0,68.0,152,1,0.801,0.895,2.796,0.153,Stalemate,0.54
